* Transaktioner Period 2026-02-01–2026-02-28 Skapad 2026-03-23 09:35 CET
Radnummer,Clearingnummer,Kontonummer,Produkt,Valuta,Bokföringsdag,Transaktionsdag,Valutadag,Referens,Beskrivning,Belopp,Bokfört saldo
1,82701,5555552222,"Privatkonto",SEK,2026-02-25,2026-02-25,2026-02-25,"LÖN","LÖN",27000.00,27000.00
2,82701,5555552222,"Privatkonto",SEK,2026-02-26,2026-02-26,2026-02-26,"FÖRSÄKRINGSKASSAN","FÖRSÄKRINGSKASSAN",2500.00,29500.00
3,82701,5555552222,"Privatkonto",SEK,2026-02-25,2026-02-25,2026-02-25,"Swish mottagen +46755588855","Swish mottagen +46755588855",4800.00,34300.00
4,82701,5555552222,"Privatkonto",SEK,2026-02-26,2026-02-26,2026-02-26,"ICA ESKILSTUNA","ICA ESKILSTUNA",-1000.00,33300.00
5,82701,5555552222,"Privatkonto",SEK,2026-02-26,2026-02-26,2026-02-26,"HEMFÖRSÄKRING","HEMFÖRSÄKRING",-280.00,33020.00
6,82701,5555552222,"Privatkonto",SEK,2026-02-26,2026-02-26,2026-02-26,"LIVFÖRSÄKRING","LIVFÖRSÄKRING",-350.00,32670.00
7,82701,5555552222,"Privatkonto",SEK,2026-02-26,2026-02-26,2026-02-26,"KATTFÖRSÄKRING","KATTFÖRSÄKRING",-220.00,32450.00
8,82701,5555552222,"Privatkonto",SEK,2026-02-27,2026-02-27,2026-02-27,"KREDITIA","KREDITIA",-310.00,32140.00
9,82701,5555552222,"Privatkonto",SEK,2026-02-27,2026-02-27,2026-02-27,"LÅN DIREKT","LÅN DIREKT",-290.00,31850.00
10,82701,5555552222,"Privatkonto",SEK,2026-02-27,2026-02-27,2026-02-27,"CREDIFY","CREDIFY",-330.00,31520.00
11,82701,5555552222,"Privatkonto",SEK,2026-02-27,2026-02-27,2026-02-27,"SNABBKREDIT","SNABBKREDIT",-270.00,31250.00
12,82701,5555552222,"Privatkonto",SEK,2026-02-27,2026-02-27,2026-02-27,"MICROLÅN","MICROLÅN",-250.00,31000.00
13,82701,5555552222,"Privatkonto",SEK,2026-02-12,2026-02-12,2026-02-12,"HM ESKILSTUNA","HM ESKILSTUNA",-650.00,30350.00
14,82701,5555552222,"Privatkonto",SEK,2026-02-13,2026-02-13,2026-02-13,"APOTEA","APOTEA",-480.00,29870.00
15,82701,5555552222,"Privatkonto",SEK,2026-02-16,2026-02-16,2026-02-16,"PANDURO","PANDURO",-290.00,29580.00
16,82701,5555552222,"Privatkonto",SEK,2026-02-18,2026-02-18,2026-02-18,"ZALANDO","ZALANDO",-990.00,28590.00
17,82701,5555552222,"Privatkonto",SEK,2026-02-07,2026-02-07,2026-02-07,"STORA TORGET REST","STORA TORGET REST",-1020.00,27570.00
18,82701,5555552222,"Privatkonto",SEK,2026-02-10,2026-02-10,2026-02-10,"WOLT","WOLT",-420.00,27150.00
19,82701,5555552222,"Privatkonto",SEK,2026-02-19,2026-02-19,2026-02-19,"STORA TORGET REST","STORA TORGET REST",-980.00,26170.00
20,82701,5555552222,"Privatkonto",SEK,2026-02-21,2026-02-21,2026-02-21,"WOLT","WOLT",-430.00,25740.00
21,82701,5555552222,"Privatkonto",SEK,2026-02-08,2026-02-08,2026-02-08,"Swish skickad +46770011223","Swish skickad +46770011223",-200.00,25540.00
22,82701,5555552222,"Privatkonto",SEK,2026-02-20,2026-02-20,2026-02-20,"Swish skickad +46770011223","Swish skickad +46770011223",-150.00,25390.00
23,82701,5555552222,"Privatkonto",SEK,2026-02-24,2026-02-24,2026-02-24,"NORMAL ESKILSTUNA","NORMAL ESKILSTUNA",-260.00,25130.00
24,82701,5555552222,"Privatkonto",SEK,2026-02-24,2026-02-24,2026-02-24,"ESPRESSO HOUSE","ESPRESSO HOUSE",-68.00,25062.00
25,82701,5555552222,"Privatkonto",SEK,2026-02-25,2026-02-25,2026-02-25,"ICA ESKILSTUNA","ICA ESKILSTUNA",-24990.00,72.00
26,82701,5555552222,"Privatkonto",SEK,2026-02-25,2026-02-25,2026-02-25,"ÖVRIGA KÖP","ÖVRIGA KÖP",-42.00,30.00
