* Transaktioner Period 2026-01-01–2026-01-31 Skapad 2026-03-23 09:30 CET
Radnummer,Clearingnummer,Kontonummer,Produkt,Valuta,Bokföringsdag,Transaktionsdag,Valutadag,Referens,Beskrivning,Belopp,Bokfört saldo
1,82701,5555552222,"Privatkonto",SEK,2026-01-25,2026-01-25,2026-01-25,"LÖN","LÖN",31250.00,31250.00
2,82701,5555552222,"Privatkonto",SEK,2026-01-25,2026-01-25,2026-01-25,"Swish mottagen +46755588855","Swish mottagen +46755588855",5000.00,36250.00
3,82701,5555552222,"Privatkonto",SEK,2026-01-26,2026-01-26,2026-01-26,"ICA ESKILSTUNA","ICA ESKILSTUNA",-1000.00,35250.00
4,82701,5555552222,"Privatkonto",SEK,2026-01-26,2026-01-26,2026-01-26,"HEMFÖRSÄKRING","HEMFÖRSÄKRING",-280.00,34970.00
5,82701,5555552222,"Privatkonto",SEK,2026-01-26,2026-01-26,2026-01-26,"LIVFÖRSÄKRING","LIVFÖRSÄKRING",-350.00,34620.00
6,82701,5555552222,"Privatkonto",SEK,2026-01-26,2026-01-26,2026-01-26,"KATTFÖRSÄKRING","KATTFÖRSÄKRING",-220.00,34400.00
7,82701,5555552222,"Privatkonto",SEK,2026-01-27,2026-01-27,2026-01-27,"KREDITIA","KREDITIA",-310.00,34090.00
8,82701,5555552222,"Privatkonto",SEK,2026-01-27,2026-01-27,2026-01-27,"LÅN DIREKT","LÅN DIREKT",-290.00,33800.00
9,82701,5555552222,"Privatkonto",SEK,2026-01-27,2026-01-27,2026-01-27,"CREDIFY","CREDIFY",-330.00,33470.00
10,82701,5555552222,"Privatkonto",SEK,2026-01-27,2026-01-27,2026-01-27,"SNABBKREDIT","SNABBKREDIT",-270.00,33200.00
11,82701,5555552222,"Privatkonto",SEK,2026-01-27,2026-01-27,2026-01-27,"MICROLÅN","MICROLÅN",-250.00,32950.00
12,82701,5555552222,"Privatkonto",SEK,2026-01-10,2026-01-10,2026-01-10,"HM ESKILSTUNA","HM ESKILSTUNA",-780.00,32170.00
13,82701,5555552222,"Privatkonto",SEK,2026-01-12,2026-01-12,2026-01-12,"APOTEA","APOTEA",-420.00,31750.00
14,82701,5555552222,"Privatkonto",SEK,2026-01-14,2026-01-14,2026-01-14,"PANDURO","PANDURO",-350.00,31400.00
15,82701,5555552222,"Privatkonto",SEK,2026-01-18,2026-01-18,2026-01-18,"ZALANDO","ZALANDO",-1290.00,30110.00
16,82701,5555552222,"Privatkonto",SEK,2026-01-07,2026-01-07,2026-01-07,"STORA TORGET REST","STORA TORGET REST",-980.00,29130.00
17,82701,5555552222,"Privatkonto",SEK,2026-01-14,2026-01-14,2026-01-14,"WOLT","WOLT",-410.00,28720.00
18,82701,5555552222,"Privatkonto",SEK,2026-01-21,2026-01-21,2026-01-21,"STORA TORGET REST","STORA TORGET REST",-1020.00,27700.00
19,82701,5555552222,"Privatkonto",SEK,2026-01-23,2026-01-23,2026-01-23,"WOLT","WOLT",-390.00,27310.00
20,82701,5555552222,"Privatkonto",SEK,2026-01-11,2026-01-11,2026-01-11,"Swish skickad +46770011223","Swish skickad +46770011223",-200.00,27110.00
21,82701,5555552222,"Privatkonto",SEK,2026-01-20,2026-01-20,2026-01-20,"Swish skickad +46770011223","Swish skickad +46770011223",-150.00,26960.00
22,82701,5555552222,"Privatkonto",SEK,2026-01-28,2026-01-28,2026-01-28,"NORMAL ESKILSTUNA","NORMAL ESKILSTUNA",-240.00,26720.00
23,82701,5555552222,"Privatkonto",SEK,2026-01-29,2026-01-29,2026-01-29,"ESPRESSO HOUSE","ESPRESSO HOUSE",-65.00,26655.00
24,82701,5555552222,"Privatkonto",SEK,2026-01-30,2026-01-30,2026-01-30,"ICA ESKILSTUNA","ICA ESKILSTUNA",-24000.00,2655.00
25,82701,5555552222,"Privatkonto",SEK,2026-01-31,2026-01-31,2026-01-31,"ÖVRIGA KÖP","ÖVRIGA KÖP",-2625.00,30.00
