* Transaktioner Period 2026-03-01–2026-03-31 Skapad 2026-03-23 09:40 CET
Radnummer,Clearingnummer,Kontonummer,Produkt,Valuta,Bokföringsdag,Transaktionsdag,Valutadag,Referens,Beskrivning,Belopp,Bokfört saldo
1,82701,5555552222,"Privatkonto",SEK,2026-03-25,2026-03-25,2026-03-25,"LÖN","LÖN",31800.00,31800.00
2,82701,5555552222,"Privatkonto",SEK,2026-03-25,2026-03-25,2026-03-25,"Swish mottagen +46755588855","Swish mottagen +46755588855",5200.00,37000.00
3,82701,5555552222,"Privatkonto",SEK,2026-03-26,2026-03-26,2026-03-26,"ICA ESKILSTUNA","ICA ESKILSTUNA",-1000.00,36000.00
4,82701,5555552222,"Privatkonto",SEK,2026-03-26,2026-03-26,2026-03-26,"HEMFÖRSÄKRING","HEMFÖRSÄKRING",-280.00,35720.00
5,82701,5555552222,"Privatkonto",SEK,2026-03-26,2026-03-26,2026-03-26,"LIVFÖRSÄKRING","LIVFÖRSÄKRING",-350.00,35370.00
6,82701,5555552222,"Privatkonto",SEK,2026-03-26,2026-03-26,2026-03-26,"KATTFÖRSÄKRING","KATTFÖRSÄKRING",-220.00,35150.00
7,82701,5555552222,"Privatkonto",SEK,2026-03-27,2026-03-27,2026-03-27,"KREDITIA","KREDITIA",-310.00,34840.00
8,82701,5555552222,"Privatkonto",SEK,2026-03-27,2026-03-27,2026-03-27,"LÅN DIREKT","LÅN DIREKT",-290.00,34550.00
9,82701,5555552222,"Privatkonto",SEK,2026-03-27,2026-03-27,2026-03-27,"CREDIFY","CREDIFY",-330.00,34220.00
10,82701,5555552222,"Privatkonto",SEK,2026-03-27,2026-03-27,2026-03-27,"SNABBKREDIT","SNABBKREDIT",-270.00,33950.00
11,82701,5555552222,"Privatkonto",SEK,2026-03-27,2026-03-27,2026-03-27,"MICROLÅN","MICROLÅN",-250.00,33700.00
12,82701,5555552222,"Privatkonto",SEK,2026-03-09,2026-03-09,2026-03-09,"HM ESKILSTUNA","HM ESKILSTUNA",-890.00,32810.00
13,82701,5555552222,"Privatkonto",SEK,2026-03-11,2026-03-11,2026-03-11,"APOTEA","APOTEA",-510.00,32300.00
14,82701,5555552222,"Privatkonto",SEK,2026-03-15,2026-03-15,2026-03-15,"PANDURO","PANDURO",-320.00,31980.00
15,82701,5555552222,"Privatkonto",SEK,2026-03-18,2026-03-18,2026-03-18,"ZALANDO","ZALANDO",-1190.00,30790.00
16,82701,5555552222,"Privatkonto",SEK,2026-03-06,2026-03-06,2026-03-06,"STORA TORGET REST","STORA TORGET REST",-1040.00,29750.00
17,82701,5555552222,"Privatkonto",SEK,2026-03-12,2026-03-12,2026-03-12,"WOLT","WOLT",-460.00,29290.00
18,82701,5555552222,"Privatkonto",SEK,2026-03-21,2026-03-21,2026-03-21,"STORA TORGET REST","STORA TORGET REST",-980.00,28310.00
19,82701,5555552222,"Privatkonto",SEK,2026-03-23,2026-03-23,2026-03-23,"WOLT","WOLT",-440.00,27870.00
20,82701,5555552222,"Privatkonto",SEK,2026-03-08,2026-03-08,2026-03-08,"Swish skickad +46770011223","Swish skickad +46770011223",-200.00,27670.00
21,82701,5555552222,"Privatkonto",SEK,2026-03-18,2026-03-18,2026-03-18,"Swish skickad +46770011223","Swish skickad +46770011223",-150.00,27520.00
22,82701,5555552222,"Privatkonto",SEK,2026-03-24,2026-03-24,2026-03-24,"NORMAL ESKILSTUNA","NORMAL ESKILSTUNA",-280.00,27240.00
23,82701,5555552222,"Privatkonto",SEK,2026-03-24,2026-03-24,2026-03-24,"ESPRESSO HOUSE","ESPRESSO HOUSE",-70.00,27170.00
24,82701,5555552222,"Privatkonto",SEK,2026-03-25,2026-03-25,2026-03-25,"ICA ESKILSTUNA","ICA ESKILSTUNA",-27140.00,30.00
