* Transaktioner Period 2025-12-01–2025-12-31 Skapad 2026-03-23 10:00 CET
Radnummer,Clearingnummer,Kontonummer,Produkt,Valuta,Bokföringsdag,Transaktionsdag,Valutadag,Referens,Beskrivning,Belopp,Bokfört saldo
1,82701,5555551111,"Privatkonto",SEK,2025-12-23,2025-12-23,2025-12-23,"LÖN","LÖN",34950.00,34950.00
2,82701,5555551111,"Privatkonto",SEK,2025-12-23,2025-12-23,2025-12-23,"Swish skickad +46755588444","Swish skickad +46755588444",-5000.00,29950.00
3,82701,5555551111,"Privatkonto",SEK,2025-12-24,2025-12-24,2025-12-24,"HYRA","HYRA",-12300.00,17650.00
4,82701,5555551111,"Privatkonto",SEK,2025-12-24,2025-12-24,2025-12-24,"PARKERING","PARKERING",-500.00,17150.00
5,82701,5555551111,"Privatkonto",SEK,2025-12-27,2025-12-27,2025-12-27,"ELBOLAGET AB","ELBOLAGET AB",-1580.00,15570.00
6,82701,5555551111,"Privatkonto",SEK,2025-12-27,2025-12-27,2025-12-27,"BILFÖRSÄKRING","BILFÖRSÄKRING",-780.00,14790.00
7,82701,5555551111,"Privatkonto",SEK,2025-12-27,2025-12-27,2025-12-27,"TRANSPORTSTYRELSEN","TRANSPORTSTYRELSEN",-420.00,14370.00
8,82701,5555551111,"Privatkonto",SEK,2025-12-27,2025-12-27,2025-12-27,"UNION AKASSA","UNION AKASSA",-160.00,14210.00
9,82701,5555551111,"Privatkonto",SEK,2025-12-28,2025-12-28,2025-12-28,"KREDIT NORDIC AB","KREDIT NORDIC AB",-320.00,13890.00
10,82701,5555551111,"Privatkonto",SEK,2025-12-28,2025-12-28,2025-12-28,"SNABBLÅN DIREKT","SNABBLÅN DIREKT",-280.00,13610.00
11,82701,5555551111,"Privatkonto",SEK,2025-12-28,2025-12-28,2025-12-28,"KREDITIUM","KREDITIUM",-310.00,13300.00
12,82701,5555551111,"Privatkonto",SEK,2025-12-28,2025-12-28,2025-12-28,"FLEXKREDIT","FLEXKREDIT",-290.00,13010.00
13,82701,5555551111,"Privatkonto",SEK,2025-12-28,2025-12-28,2025-12-28,"CASHBUDDY","CASHBUDDY",-260.00,12750.00
14,82701,5555551111,"Privatkonto",SEK,2025-12-10,2025-12-10,2025-12-10,"CIRCLE K","CIRCLE K",-920.00,11830.00
15,82701,5555551111,"Privatkonto",SEK,2025-12-15,2025-12-15,2025-12-15,"PREEM","PREEM",-880.00,10950.00
16,82701,5555551111,"Privatkonto",SEK,2025-12-20,2025-12-20,2025-12-20,"OKQ8","OKQ8",-820.00,10130.00
17,82701,5555551111,"Privatkonto",SEK,2025-12-12,2025-12-12,2025-12-12,"TECHHAVEN","TECHHAVEN",-1390.00,8740.00
18,82701,5555551111,"Privatkonto",SEK,2025-12-13,2025-12-13,2025-12-13,"Insättning barn 1","Insättning barn 1",-24000.00,8320.00
19,82701,5555551111,"Privatkonto",SEK,2025-12-06,2025-12-06,2025-12-06,"STORA TORGET REST","STORA TORGET REST",-1180.00,7140.00
20,82701,5555551111,"Privatkonto",SEK,2025-12-11,2025-12-11,2025-12-11,"WOLT","WOLT",-460.00,6680.00
21,82701,5555551111,"Privatkonto",SEK,2025-12-18,2025-12-18,2025-12-18,"ÖLKÄLLAREN","ÖLKÄLLAREN",-720.00,5960.00
22,82701,5555551111,"Privatkonto",SEK,2025-12-21,2025-12-21,2025-12-21,"STORA TORGET REST","STORA TORGET REST",-1040.00,4920.00
23,82701,5555551111,"Privatkonto",SEK,2025-12-22,2025-12-22,2025-12-22,"WOLT","WOLT",-430.00,4490.00
24,82701,5555551111,"Privatkonto",SEK,2025-12-08,2025-12-08,2025-12-08,"Swish skickad +46770011223","Swish skickad +46770011223",-300.00,4190.00
25,82701,5555551111,"Privatkonto",SEK,2025-12-19,2025-12-19,2025-12-19,"Swish skickad +46770011223","Swish skickad +46770011223",-250.00,3940.00
26,82701,5555551111,"Privatkonto",SEK,2025-12-22,2025-12-22,2025-12-22,"Systembolaget","Systembolaget",-750.00,3190.00
27,82701,5555551111,"Privatkonto",SEK,2025-12-23,2025-12-23,2025-12-23,"ESPRESSO HOUSE","ESPRESSO HOUSE",-65.00,3125.00
28,82701,5555551111,"Privatkonto",SEK,2025-12-23,2025-12-23,2025-12-23,"WILLYS ESKILSTUNA","WILLYS ESKILSTUNA",-3095.00,30.00
