* Transaktioner Period 2026-02-01–2026-02-28 Skapad 2026-03-23 09:20 CET
Radnummer,Clearingnummer,Kontonummer,Produkt,Valuta,Bokföringsdag,Transaktionsdag,Valutadag,Referens,Beskrivning,Belopp,Bokfört saldo
1,82701,5555551111,"Privatkonto",SEK,2026-02-25,2026-02-25,2026-02-25,"LÖN","LÖN",34720.00,34720.00
2,82701,5555551111,"Privatkonto",SEK,2026-02-25,2026-02-25,2026-02-25,"Swish skickad +46755588444","Swish skickad +46755588444",-4800.00,29920.00
3,82701,5555551111,"Privatkonto",SEK,2026-02-26,2026-02-26,2026-02-26,"HYRA","HYRA",-12300.00,17620.00
4,82701,5555551111,"Privatkonto",SEK,2026-02-26,2026-02-26,2026-02-26,"PARKERING","PARKERING",-500.00,17120.00
5,82701,5555551111,"Privatkonto",SEK,2026-02-27,2026-02-27,2026-02-27,"ELBOLAGET AB","ELBOLAGET AB",-1380.00,15740.00
6,82701,5555551111,"Privatkonto",SEK,2026-02-27,2026-02-27,2026-02-27,"BILFÖRSÄKRING","BILFÖRSÄKRING",-780.00,14960.00
7,82701,5555551111,"Privatkonto",SEK,2026-02-27,2026-02-27,2026-02-27,"TRANSPORTSTYRELSEN","TRANSPORTSTYRELSEN",-420.00,14540.00
8,82701,5555551111,"Privatkonto",SEK,2026-02-27,2026-02-27,2026-02-27,"UNION AKASSA","UNION AKASSA",-160.00,14380.00
9,82701,5555551111,"Privatkonto",SEK,2026-02-28,2026-02-28,2026-02-28,"KREDIT NORDIC AB","KREDIT NORDIC AB",-320.00,14060.00
10,82701,5555551111,"Privatkonto",SEK,2026-02-28,2026-02-28,2026-02-28,"SNABBLÅN DIREKT","SNABBLÅN DIREKT",-280.00,13780.00
11,82701,5555551111,"Privatkonto",SEK,2026-02-28,2026-02-28,2026-02-28,"KREDITIUM","KREDITIUM",-310.00,13470.00
12,82701,5555551111,"Privatkonto",SEK,2026-02-28,2026-02-28,2026-02-28,"FLEXKREDIT","FLEXKREDIT",-290.00,13180.00
13,82701,5555551111,"Privatkonto",SEK,2026-02-28,2026-02-28,2026-02-28,"CASHBUDDY","CASHBUDDY",-260.00,12920.00
14,82701,5555551111,"Privatkonto",SEK,2026-02-15,2026-02-15,2026-02-15,"CIRCLE K","CIRCLE K",-900.00,12020.00
15,82701,5555551111,"Privatkonto",SEK,2026-02-18,2026-02-18,2026-02-18,"PREEM","PREEM",-850.00,11170.00
16,82701,5555551111,"Privatkonto",SEK,2026-02-22,2026-02-22,2026-02-22,"OKQ8","OKQ8",-780.00,10390.00
17,82701,5555551111,"Privatkonto",SEK,2026-02-12,2026-02-12,2026-02-12,"TECHHAVEN","TECHHAVEN",-1599.00,8791.00
18,82701,5555551111,"Privatkonto",SEK,2026-02-13,2026-02-13,2026-02-13,"MEKONOMEN","MEKONOMEN",-380.00,8411.00
19,82701,5555551111,"Privatkonto",SEK,2026-02-07,2026-02-07,2026-02-07,"STORA TORGET REST","STORA TORGET REST",-1080.00,7331.00
20,82701,5555551111,"Privatkonto",SEK,2026-02-10,2026-02-10,2026-02-10,"WOLT","WOLT",-410.00,6921.00
21,82701,5555551111,"Privatkonto",SEK,2026-02-16,2026-02-16,2026-02-16,"ÖLKÄLLAREN","ÖLKÄLLAREN",-720.00,6201.00
22,82701,5555551111,"Privatkonto",SEK,2026-02-19,2026-02-19,2026-02-19,"STORA TORGET REST","STORA TORGET REST",-950.00,5251.00
23,82701,5555551111,"Privatkonto",SEK,2026-02-21,2026-02-21,2026-02-21,"WOLT","WOLT",-430.00,4821.00
24,82701,5555551111,"Privatkonto",SEK,2026-02-08,2026-02-08,2026-02-08,"Swish skickad +46770011223","Swish skickad +46770011223",-250.00,4571.00
25,82701,5555551111,"Privatkonto",SEK,2026-02-20,2026-02-20,2026-02-20,"Swish skickad +46770011223","Swish skickad +46770011223",-300.00,4271.00
26,82701,5555551111,"Privatkonto",SEK,2026-02-23,2026-02-23,2026-02-23,"Systembolaget","Systembolaget",-540.00,3731.00
27,82701,5555551111,"Privatkonto",SEK,2026-02-24,2026-02-24,2026-02-24,"ESPRESSO HOUSE","ESPRESSO HOUSE",-62.00,3669.00
28,82701,5555551111,"Privatkonto",SEK,2026-02-24,2026-02-24,2026-02-24,"WILLYS ESKILSTUNA","WILLYS ESKILSTUNA",-3640.00,29.00
