* Transaktioner Period 2026-01-01–2026-01-31 Skapad 2026-03-23 09:15 CET
Radnummer,Clearingnummer,Kontonummer,Produkt,Valuta,Bokföringsdag,Transaktionsdag,Valutadag,Referens,Beskrivning,Belopp,Bokfört saldo
1,82701,5555551111,"Privatkonto",SEK,2026-01-25,2026-01-25,2026-01-25,"LÖN","LÖN",35280.00,35280.00
2,82701,5555551111,"Privatkonto",SEK,2026-01-25,2026-01-25,2026-01-25,"Swish skickad +46755588444","Swish skickad +46755588444",-5000.00,30280.00
3,82701,5555551111,"Privatkonto",SEK,2026-01-26,2026-01-26,2026-01-26,"HYRA","HYRA",-12300.00,17980.00
4,82701,5555551111,"Privatkonto",SEK,2026-01-26,2026-01-26,2026-01-26,"PARKERING","PARKERING",-500.00,17480.00
5,82701,5555551111,"Privatkonto",SEK,2026-01-27,2026-01-27,2026-01-27,"ELBOLAGET AB","ELBOLAGET AB",-1450.00,16030.00
6,82701,5555551111,"Privatkonto",SEK,2026-01-27,2026-01-27,2026-01-27,"BILFÖRSÄKRING","BILFÖRSÄKRING",-780.00,15250.00
7,82701,5555551111,"Privatkonto",SEK,2026-01-27,2026-01-27,2026-01-27,"TRANSPORTSTYRELSEN","TRANSPORTSTYRELSEN",-420.00,14830.00
8,82701,5555551111,"Privatkonto",SEK,2026-01-28,2026-01-28,2026-01-28,"UNION AKASSA","UNION AKASSA",-160.00,14670.00
9,82701,5555551111,"Privatkonto",SEK,2026-01-28,2026-01-28,2026-01-28,"KREDIT NORDIC AB","KREDIT NORDIC AB",-320.00,14350.00
10,82701,5555551111,"Privatkonto",SEK,2026-01-28,2026-01-28,2026-01-28,"SNABBLÅN DIREKT","SNABBLÅN DIREKT",-280.00,14070.00
11,82701,5555551111,"Privatkonto",SEK,2026-01-28,2026-01-28,2026-01-28,"KREDITIUM","KREDITIUM",-310.00,13760.00
12,82701,5555551111,"Privatkonto",SEK,2026-01-28,2026-01-28,2026-01-28,"FLEXKREDIT","FLEXKREDIT",-290.00,13470.00
13,82701,5555551111,"Privatkonto",SEK,2026-01-28,2026-01-28,2026-01-28,"CASHBUDDY","CASHBUDDY",-260.00,13210.00
14,82701,5555551111,"Privatkonto",SEK,2026-01-29,2026-01-29,2026-01-29,"Benny Bilservice","Benny Bilservice",-2450.00,10760.00
15,82701,5555551111,"Privatkonto",SEK,2026-01-29,2026-01-29,2026-01-29,"CIRCLE K","CIRCLE K",-820.00,9940.00
16,82701,5555551111,"Privatkonto",SEK,2026-01-30,2026-01-30,2026-01-30,"PREEM","PREEM",-780.00,9160.00
17,82701,5555551111,"Privatkonto",SEK,2026-01-31,2026-01-31,2026-01-31,"OKQ8","OKQ8",-650.00,8510.00
18,82701,5555551111,"Privatkonto",SEK,2026-01-10,2026-01-10,2026-01-10,"TECHHAVEN","TECHHAVEN",-899.00,7611.00
19,82701,5555551111,"Privatkonto",SEK,2026-01-12,2026-01-12,2026-01-12,"MEKONOMEN","MEKONOMEN",-450.00,7161.00
20,82701,5555551111,"Privatkonto",SEK,2026-01-14,2026-01-14,2026-01-14,"TECHHAVEN","TECHHAVEN",-1299.00,5862.00
21,82701,5555551111,"Privatkonto",SEK,2026-01-07,2026-01-07,2026-01-07,"STORA TORGET REST","STORA TORGET REST",-1120.00,4742.00
22,82701,5555551111,"Privatkonto",SEK,2026-01-14,2026-01-14,2026-01-14,"WOLT","WOLT",-420.00,4322.00
23,82701,5555551111,"Privatkonto",SEK,2026-01-18,2026-01-18,2026-01-18,"ÖLKÄLLAREN","ÖLKÄLLAREN",-680.00,3642.00
24,82701,5555551111,"Privatkonto",SEK,2026-01-21,2026-01-21,2026-01-21,"STORA TORGET REST","STORA TORGET REST",-980.00,2662.00
25,82701,5555551111,"Privatkonto",SEK,2026-01-23,2026-01-23,2026-01-23,"WOLT","WOLT",-390.00,2272.00
26,82701,5555551111,"Privatkonto",SEK,2026-01-11,2026-01-11,2026-01-11,"Swish skickad +46770011223","Swish skickad +46770011223",-300.00,1972.00
27,82701,5555551111,"Privatkonto",SEK,2026-01-20,2026-01-20,2026-01-20,"Swish skickad +46770011223","Swish skickad +46770011223",-250.00,1722.00
28,82701,5555551111,"Privatkonto",SEK,2026-01-30,2026-01-30,2026-01-30,"Systembolaget","Systembolaget",-620.00,1102.00
29,82701,5555551111,"Privatkonto",SEK,2026-01-31,2026-01-31,2026-01-31,"ESPRESSO HOUSE","ESPRESSO HOUSE",-58.00,1044.00
30,82701,5555551111,"Privatkonto",SEK,2026-01-31,2026-01-31,2026-01-31,"WILLYS ESKILSTUNA","WILLYS ESKILSTUNA",-1020.00,24.00
