* Transaktioner Period 2026-03-01–2026-03-31 Skapad 2026-03-23 09:25 CET
Radnummer,Clearingnummer,Kontonummer,Produkt,Valuta,Bokföringsdag,Transaktionsdag,Valutadag,Referens,Beskrivning,Belopp,Bokfört saldo
1,82701,5555551111,"Privatkonto",SEK,2026-03-25,2026-03-25,2026-03-25,"LÖN","LÖN",35890.00,35890.00
2,82701,5555551111,"Privatkonto",SEK,2026-03-25,2026-03-25,2026-03-25,"Swish skickad +46755588444","Swish skickad +46755588444",-5200.00,30690.00
3,82701,5555551111,"Privatkonto",SEK,2026-03-26,2026-03-26,2026-03-26,"HYRA","HYRA",-12300.00,18390.00
4,82701,5555551111,"Privatkonto",SEK,2026-03-26,2026-03-26,2026-03-26,"PARKERING","PARKERING",-500.00,17890.00
5,82701,5555551111,"Privatkonto",SEK,2026-03-27,2026-03-27,2026-03-27,"ELBOLAGET AB","ELBOLAGET AB",-1520.00,16370.00
6,82701,5555551111,"Privatkonto",SEK,2026-03-27,2026-03-27,2026-03-27,"BILFÖRSÄKRING","BILFÖRSÄKRING",-780.00,15590.00
7,82701,5555551111,"Privatkonto",SEK,2026-03-27,2026-03-27,2026-03-27,"TRANSPORTSTYRELSEN","TRANSPORTSTYRELSEN",-420.00,15170.00
8,82701,5555551111,"Privatkonto",SEK,2026-03-27,2026-03-27,2026-03-27,"UNION AKASSA","UNION AKASSA",-160.00,15010.00
9,82701,5555551111,"Privatkonto",SEK,2026-03-28,2026-03-28,2026-03-28,"KREDIT NORDIC AB","KREDIT NORDIC AB",-320.00,14690.00
10,82701,5555551111,"Privatkonto",SEK,2026-03-28,2026-03-28,2026-03-28,"SNABBLÅN DIREKT","SNABBLÅN DIREKT",-280.00,14410.00
11,82701,5555551111,"Privatkonto",SEK,2026-03-28,2026-03-28,2026-03-28,"KREDITIUM","KREDITIUM",-310.00,14100.00
12,82701,5555551111,"Privatkonto",SEK,2026-03-28,2026-03-28,2026-03-28,"FLEXKREDIT","FLEXKREDIT",-290.00,13810.00
13,82701,5555551111,"Privatkonto",SEK,2026-03-28,2026-03-28,2026-03-28,"CASHBUDDY","CASHBUDDY",-260.00,13550.00
14,82701,5555551111,"Privatkonto",SEK,2026-03-05,2026-03-05,2026-03-05,"Benny Bilservice","Benny Bilservice",-3100.00,10450.00
15,82701,5555551111,"Privatkonto",SEK,2026-03-10,2026-03-10,2026-03-10,"CIRCLE K","CIRCLE K",-950.00,9500.00
16,82701,5555551111,"Privatkonto",SEK,2026-03-14,2026-03-14,2026-03-14,"PREEM","PREEM",-890.00,8610.00
17,82701,5555551111,"Privatkonto",SEK,2026-03-20,2026-03-20,2026-03-20,"OKQ8","OKQ8",-780.00,7830.00
18,82701,5555551111,"Privatkonto",SEK,2026-03-09,2026-03-09,2026-03-09,"TECHHAVEN","TECHHAVEN",-1099.00,6731.00
19,82701,5555551111,"Privatkonto",SEK,2026-03-11,2026-03-11,2026-03-11,"MEKONOMEN","MEKONOMEN",-520.00,6211.00
20,82701,5555551111,"Privatkonto",SEK,2026-03-06,2026-03-06,2026-03-06,"STORA TORGET REST","STORA TORGET REST",-1150.00,5061.00
21,82701,5555551111,"Privatkonto",SEK,2026-03-12,2026-03-12,2026-03-12,"WOLT","WOLT",-460.00,4601.00
22,82701,5555551111,"Privatkonto",SEK,2026-03-17,2026-03-17,2026-03-17,"ÖLKÄLLAREN","ÖLKÄLLAREN",-750.00,3851.00
23,82701,5555551111,"Privatkonto",SEK,2026-03-21,2026-03-21,2026-03-21,"STORA TORGET REST","STORA TORGET REST",-1020.00,2831.00
24,82701,5555551111,"Privatkonto",SEK,2026-03-23,2026-03-23,2026-03-23,"WOLT","WOLT",-440.00,2391.00
25,82701,5555551111,"Privatkonto",SEK,2026-03-08,2026-03-08,2026-03-08,"Swish skickad +46770011223","Swish skickad +46770011223",-300.00,2091.00
26,82701,5555551111,"Privatkonto",SEK,2026-03-18,2026-03-18,2026-03-18,"Swish skickad +46770011223","Swish skickad +46770011223",-250.00,1841.00
27,82701,5555551111,"Privatkonto",SEK,2026-03-24,2026-03-24,2026-03-24,"Systembolaget","Systembolaget",-690.00,1151.00
28,82701,5555551111,"Privatkonto",SEK,2026-03-24,2026-03-24,2026-03-24,"ESPRESSO HOUSE","ESPRESSO HOUSE",-61.00,1090.00
29,82701,5555551111,"Privatkonto",SEK,2026-03-25,2026-03-25,2026-03-25,"WILLYS ESKILSTUNA","WILLYS ESKILSTUNA",-1060.00,30.00
